,Unnamed: 0,PROLIFIC_PID,multipleEthic,openQuestion_Ethic,openQuestion_Ethic_translated,sentimentVadder,sentimentVadderPolarityScore
0,1,74a68139f47c12e308707879cc04ea66490e6065b8dfe8b66779afec5325d63d,autonom \ ökologisch \ umweltschädlich,"Die Umwelt betrifft alle Menschen und das Schädigen der Umwelt kann Menschen direkt beeinflussen; Autonomie kann auch schlecht für Menschen sein, falls die Maschine z.B. bei der Rettung andere bevorzugt oder falls Autonomie gänzlich versagt","The environment affects all people and harming the environment can directly affect people; autonomy can also be bad for people, for example, if the machine prefers others during rescue operations or if autonomy completely fails.",Negative,-0.7841
1,2,40889123aede55f7b53e4bfb2a46fe17895930e0a57a3cf979d5cc2cca233d40,autonom \ intelligent \ Insekten ähnlich,autonome und inteligente lebensähnliche Eigenschaften klingen erstmal unmoralisch aus.,Autonomous and intelligent life-like characteristics initially sound immoral.,Neutral,0.0
2,3,1773928d64c86ff64d4610e62c96a8cce54e7dd00b8b68656de16848766d5aaa,umweltfreundlich \ nachhaltig \ umweltschädlich,Es ist unsere moralische Pflicht das Ökosystem für nachfolgende Generationen zu erhalten.,It is our moral duty to preserve the ecosystem for future generations.,Neutral,0.0
3,4,66ab847648c84da26f69f4f5b2f7373a2ae87dc487a63e37e75b216421c751c4,energieeffizient \ umweltfreundlich \ nachhaltig,"Ähnlich wie es aus dem Beispiel oben dargestellt wurde, ist es mir wichtig, das bei dem Materialsystem nichts zu schaden kommt. Deswegen sind mir die nachhaltigen Optionen am wichtigsten.","As illustrated in the example above, it is important to me that the material system is not damaged. Therefore, sustainable options are most important to me.",Positive,0.6484
4,5,b13bbac8b086f98cd9ed9c97d9e7a2fc9091563bfba9aa78026a0c446ff4e92b,energieeffizient \ umweltfreundlich \ wartungsfrei,Umweltfreundlich ist hier ein großes Thema in der Region und daher wenn man den Menschen etwas anbietet was wenig oder sehr effizient die Energie nutzt plus wartungsfrei also ohne große Folgekosten könnte man so am besten viele erreichen,"Being environmentally friendly is a major topic in the region and therefore offering people something that uses little or very efficiently uses energy, plus is maintenance-free, i.e., without major follow-up costs, could be the best way to reach many.",Positive,0.9117
5,6,46861bf8e9008ca1313b0bbc49bb3bf3ca7c1db63be4e9ef0b44f146947231df,autonom \ lebensähnlich \ reaktionsfähig,"Ich bin mir nicht sicher, ob es gut ist das es von selbst handeln und reagieren kann",I am not sure if it is good that it can act and react on its own.,Positive,0.2354
6,7,59994ec69b61ffdb4c4d881a3d7b15d65bdd82d89b5a78a529efb89ba85ebe8a,ökologisch \ umweltfreundlich \ nachhaltig,Man sollte immer bedenken das wir nicht die letzte Generation von Menschen auf der Erde sind. Daher sind umweltfreundliche und nachhaltige Produkte zukünftig sehr wichtig.,"One should always remember that we are not the last generation of humans on Earth. Therefore, environmentally friendly and sustainable products are very important for the future.",Positive,0.6478
7,8,56a74a9c9ca121ccf8ec0d68cd4613e057fb3fff6e223d64eb3f0a08f1c26fa3,ökologisch \ umweltfreundlich \ nachhaltig,"Moralisch gesehen, sollten wir uns bei einem Materialsystem immer bewusst sein, welche Auswirkung dieses auf die Umwelt hat. ","Morally speaking, we should always be aware of the impact a material system has on the environment.",Neutral,0.0
8,9,ca729f9843a69140387d5054360a70903ac203067e2f70f7d2c77eaabfce01eb,ökologisch \ umweltfreundlich \ nachhaltig,"Wir leben bereits in einer Welt, in der Müll bzw. dessen Entsorgung eine zentrale Herausforderung ist. Da wir nur begrenzte Mittel haben und die Umwelt unter unserem Handeln leidet, ist es ethisch relevant, sich für nachhaltige Lösungen einzusetzen. Dies sichert die Zukunft nachfolgender Generationen.","We already live in a world where waste and its disposal pose a central challenge. Given our limited resources and the environmental degradation caused by our actions, it is ethically relevant to commit to sustainable solutions. This secures the future for subsequent generations.",Negative,-0.3127
9,10,d45a20bd7dd91e466b16ce114b51bf00ed575383bf701fe33d6d705e280f9b1d,umweltfreundlich \ nachhaltig \ langlebig,"Ich bin der Meinung, dass es wichtig ist, zukunftsorientiert zu agieren, wenn es um neue Erfindungen geht. Also etwas, dass wenig Schaden verursacht, lange nutzbar ist, und nach ende seines Lebenszyklus leicht abgearbeitet oder wiederverwertet werden kann.","I believe it is important to act with a future-oriented approach when it comes to new inventions. So something that causes little damage, is usable for a long time, and can be easily recycled or reused at the end of its life cycle.",Positive,0.0754
